seconds,minutes,time_point,A_au,AA_au,AAA_au,AAB_au,AB_au,ABB_au,B_au,BB_au,BBB_au,A_au_std,AA_au_std,AAA_au_std,AAB_au_std,AB_au_std,ABB_au_std,B_au_std,BB_au_std,BBB_au_std
70.1,1.1683333333333332,1,0.05103294232018215,0.07991150649180015,0.23712475871096528,0.002196561871655339,0.030705827480270117,0.04413390039380643,0.06642466403656903,0.08554142535861176,0.4029284133361397,0.022098790462411838,0.035153768371209614,0.025163716047890194,0.0013759883205252729,0.005982453729821718,0.03434232993629727,0.02680016726461601,0.024807495395833556,0.0074743297269479906
90.19999999999999,1.5033333333333332,2,0.08869490421823291,0.07149126036369056,0.21578243300456987,0.019046218617834447,0.03999838571357852,0.048286618241797245,0.10814677134003663,0.07263982324383723,0.3359135852564226,0.016223721642483938,0.006964979829264306,0.034144221589253426,0.015277073708901322,0.011796234957381588,0.008825720467300032,0.02095495473825792,0.016888796232717634,0.04824976800740313
110.3,1.8383333333333334,3,0.09725997132906261,0.0805053520096387,0.19543930622793584,0.04274943280809543,0.05584727022660987,0.05118963737895523,0.12047654895161107,0.07466022748664441,0.2818722535814468,0.00033118975525643705,0.011659689299943059,0.039565039784734704,0.02671027906522586,0.012508871959784779,0.021235222729227267,0.004422897660780009,0.01602905037054859,0.04479328067079914
130.39999999999998,2.173333333333333,4,0.10914609350538736,0.0730298682772147,0.17104627219717092,0.07353492088697094,0.060907869125664815,0.07678176370307165,0.13709491588784392,0.06461501613045635,0.23384328028621937,0.0046347093421753045,0.02158220030174068,0.035607957616792404,0.0338161190472263,0.01442492459775441,0.02526943059592346,0.01393387773057823,0.012552803195634973,0.053955298884671425
150.5,2.5083333333333333,5,0.11872529165112422,0.07077107513652102,0.1480692038229334,0.10396069651259693,0.06908159723173352,0.09502870700444459,0.14685758759533782,0.056797282782306106,0.19070855826300245,0.019460950844320965,0.007116750624934249,0.03852646610463383,0.029999469745686125,0.013148923995804666,0.024151087156666192,0.01640310166882596,0.0038323587409407494,0.06945272658699769
170.6,2.8433333333333333,6,0.11185366439949525,0.06716964281007533,0.14041994270984867,0.13046699398729242,0.07842007333569978,0.10435801183459259,0.13591838251037283,0.060007130653600194,0.1713861577590229,0.02030545489825642,0.01325111926390898,0.01224346087050671,0.033804564604711276,0.013313408885498765,0.02861274140513158,0.027666061461349423,0.010820762676908468,0.02890527543385095
190.7,3.1783333333333332,7,0.12390566544121384,0.0692926986602009,0.11825284990923031,0.14187730963048373,0.08263270476255812,0.11597638273977819,0.14309497453192063,0.057809812426031136,0.14715760189858315,0.03003188115788881,0.016789732152583822,0.01407748817758209,0.0256434577310976,0.010699900209659342,0.024121025644441078,0.03797639267075452,0.01056279126449302,0.03253888463630023
210.79999999999998,3.513333333333333,8,0.13319105914490897,0.06410870517145321,0.10802129348696195,0.1548404922337384,0.08677420635022749,0.12182482468479132,0.15685578946079395,0.05061548910767568,0.12376814035944901,0.020003735203171134,0.0014271872091415267,0.00510107101894432,0.03284067443218419,0.0050157723804970826,0.02332350904109118,0.024028928164538513,0.004696471880078555,0.023030115055286012
230.89999999999998,3.848333333333333,9,0.13439961545703577,0.06050962570706103,0.10014023023084762,0.17315695324567681,0.08216947776871208,0.13707566071656938,0.15457330525505028,0.04931599224017614,0.10865913937887091,0.020518657670744078,0.0026606720769791078,0.005306803561732796,0.022792547315341805,0.004154315942979753,0.03387028695678662,0.029916866132664102,0.0024679376234066994,0.007257186525323531
250.99999999999997,4.183333333333333,10,0.13403042381335897,0.05570366312124991,0.09546760731145075,0.18285810717375936,0.08728171842833378,0.1383212853941512,0.15472372498202894,0.049569178415176614,0.10204429136049047,0.003292488773306914,0.004964865814869223,0.011681782997579855,0.01396044395729502,0.0031400298059312097,0.024653107051983213,0.013272598992357368,0.0048382708084001224,0.02031955563326997
